,EVALID,PLOTID,STATECD,CONDID,SUBP,STATUSCD,STANDING_DEAD_CD,SPCD,scientific,NBR_STEMS,DIA,TPA_UNADJ,OWNGRPCD,FIA_LANDUSE,ITREE_LANDUSE,LEAF_AREA_ITREE,CROWN_DIEBACK_CD,IS_MAINTAINED_AREA,IS_STREET_TREE,IS_PLANTED
31641,PortlandME2022Curr,2384079,23,1,1,Live,NA,316,Acer rubrum,1,5.3,6.018046286,Private,Forest land,Unused/Other,1760.156523,0,0,0,2
33535,PortlandME2022Curr,2383799,23,1,1,Live,NA,660,Malus spp.,1,8.2,6.018046286,StateLocal,Forest land,Unused/Other,1508.640738,10,0,0,2
33536,PortlandME2022Curr,2384026,23,1,13,Live,NA,129,Pinus strobus,1,3.4,74.96528245,Private,Commercial/Industrial,Institutional/Commercial,243.8701161,0,0,0,2
33537,PortlandME2022Curr,2383435,23,1,1,Live,NA,833,Quercus rubra,1,6.9,6.018046286,StateLocal,Forest land,Unused/Other,4035.953424,5,0,0,2
33538,PortlandME2022Curr,2383859,23,1,1,Live,NA,833,Quercus rubra,1,5.7,6.018046286,Private,Forest land,Unused/Other,2959.191623,5,0,0,2
33549,PortlandME2022Curr,2384098,23,1,1,Live,NA,316,Acer rubrum,1,9,6.018046286,Private,Commercial/Industrial,Unused/Other,4454.361258,5,0,0,2
33550,PortlandME2022Curr,2383793,23,2,1,Live,NA,833,Quercus rubra,1,6,6.018046286,StateLocal,Forest land,Unused/Other,2300.942553,0,0,0,2
33551,PortlandME2022Curr,2383832,23,1,14,Live,NA,129,Pinus strobus,1,2.1,74.96528245,Private,Forest land,Cemetery/Park/Golf,103.8836957,0,0,0,2
33559,PortlandME2022Curr,2384382,23,1,1,Live,NA,129,Pinus strobus,1,12.8,6.018046286,Private,Forest land,Unused/Other,5240.994899,0,0,0,2
33621,PortlandME2022Curr,2383480,23,1,1,Live,NA,972,Ulmus americana,1,6.2,6.018046286,Private,Forest land,Unused/Other,1619.889268,5,0,0,2
33622,PortlandME2022Curr,2383480,23,1,1,Live,NA,316,Acer rubrum,1,23.3,6.018046286,Private,Forest land,Unused/Other,12957.64774,5,0,0,2
33623,PortlandME2022Curr,2383480,23,1,1,Dead,Yes,320,Acer platanoides,1,5.6,6.018046286,Private,Forest land,Unused/Other,0,NA,0,0,2
33624,PortlandME2022Curr,2384098,23,1,1,Live,NA,316,Acer rubrum,1,8,6.018046286,Private,Commercial/Industrial,Unused/Other,1833.863912,5,0,0,2
33625,PortlandME2022Curr,2384098,23,1,13,Live,NA,129,Pinus strobus,1,2.5,74.96528245,Private,Commercial/Industrial,Unused/Other,116.3778591,0,0,0,2
33642,PortlandME2022Curr,2384104,23,1,1,Live,NA,833,Quercus rubra,1,13.5,6.018046286,Private,Residential,Residential,8479.414947,5,0,0,2
33643,PortlandME2022Curr,2384104,23,1,13,Live,NA,316,Acer rubrum,1,1.1,74.96528245,Private,Residential,Residential,118.0720336,0,0,0,2
33644,PortlandME2022Curr,2384113,23,1,1,Live,NA,541,Fraxinus americana,1,7.4,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,5050.100904,5,0,0,2
33645,PortlandME2022Curr,2384113,23,1,1,Live,NA,541,Fraxinus americana,1,11.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,5499.755571,5,0,0,2
33646,PortlandME2022Curr,2384113,23,1,1,Live,NA,541,Fraxinus americana,1,16.2,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,9617.080077,5,0,0,2
33647,PortlandME2022Curr,2383796,23,1,1,Live,NA,316,Acer rubrum,1,11.9,6.018046286,Private,Residential,Residential,4283.501908,5,1,0,2
33648,PortlandME2022Curr,2383806,23,1,1,Live,NA,660,Malus spp.,1,7,6.018046286,Private,Commercial/Industrial,Unused/Other,430.1959018,5,1,0,1
33664,PortlandME2022Curr,2385162,23,1,1,Live,NA,901,Robinia pseudoacacia,1,13.7,6.018046286,StateLocal,Recreation/Cemetery,Cemetery/Park/Golf,6141.126517,5,1,0,1
33665,PortlandME2022Curr,2383832,23,1,1,Live,NA,316,Acer rubrum,1,9.6,6.018046286,Private,Forest land,Cemetery/Park/Golf,2979.237794,0,0,0,2
33666,PortlandME2022Curr,2383832,23,1,1,Live,NA,316,Acer rubrum,1,8.9,6.018046286,Private,Forest land,Cemetery/Park/Golf,3448.621124,0,0,0,2
33667,PortlandME2022Curr,2383832,23,1,1,Live,NA,129,Pinus strobus,1,9.9,6.018046286,Private,Forest land,Cemetery/Park/Golf,2885.072486,0,0,0,2
33668,PortlandME2022Curr,2383832,23,1,1,Live,NA,762,Prunus serotina,1,11.5,6.018046286,Private,Forest land,Cemetery/Park/Golf,1966.290604,10,0,0,2
33669,PortlandME2022Curr,2383832,23,1,1,Live,NA,746,Populus tremuloides,1,10.2,6.018046286,Private,Forest land,Cemetery/Park/Golf,1218.514179,0,0,0,2
33670,PortlandME2022Curr,2383412,23,1,1,Live,NA,833,Quercus rubra,1,43.5,6.018046286,Private,Residential,Residential,14785.76389,0,1,0,2
33671,PortlandME2022Curr,2383412,23,1,1,Live,NA,320,Acer platanoides,1,7.8,6.018046286,Private,Residential,Residential,3268.677089,0,1,0,2
33672,PortlandME2022Curr,2384061,23,1,1,Live,NA,741,Populus balsamifera,1,9.5,6.018046286,Private,Forest land,Unused/Other,2042.654613,0,0,0,2
