,EVALID,PLOTID,STATECD,CONDID,SUBP,STATUSCD,STANDING_DEAD_CD,SPCD,scientific,NBR_STEMS,DIA,TPA_UNADJ,OWNGRPCD,FIA_LANDUSE,ITREE_LANDUSE,LEAF_AREA_ITREE,CROWN_DIEBACK_CD,IS_MAINTAINED_AREA,IS_STREET_TREE,IS_PLANTED
1804,PortlandOR2022Curr,2928152,41,1,11,Live,NA,747,Populus balsamifera ssp. trichocarpa,1,1.8,74.96528245,Private,Rights-of-Way,Transportation/Utility,109.412503,0,0,0,2
1805,PortlandOR2022Curr,2928150,41,1,1,Live,NA,242,Thuja plicata,1,26.8,6.018046286,Private,Residential,Residential,20160.13504,0,1,0,1
1806,PortlandOR2022Curr,2928255,41,1,1,Live,NA,312,Acer macrophyllum,1,20.3,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,11499.5617,0,0,0,2
1821,PortlandOR2022Curr,2928275,41,1,1,Live,NA,6696,Prunus laurocerasus,2,7.3,6.018046286,Private,Residential,Residential,1071.225951,0,0,0,1
1822,PortlandOR2022Curr,2928275,41,1,1,Live,NA,8502,Salix discolor,1,7.3,6.018046286,Private,Residential,Residential,2009.792754,5,0,0,3
1823,PortlandOR2022Curr,2928275,41,1,1,Live,NA,6696,Prunus laurocerasus,1,5.5,6.018046286,Private,Residential,Residential,1726.968516,0,0,0,1
1825,PortlandOR2022Curr,2928281,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,35,6.018046286,Private,Forest land,Unused/Other,28737.59156,0,0,0,2
1826,PortlandOR2022Curr,2928281,41,1,1,Live,NA,7454,Ilex aquifolium,1,6.1,6.018046286,Private,Forest land,Unused/Other,1828.491837,0,0,0,2
1841,PortlandOR2022Curr,2928281,41,1,1,Live,NA,312,Acer macrophyllum,1,14.7,6.018046286,Private,Forest land,Unused/Other,10609.49234,0,0,0,2
1842,PortlandOR2022Curr,2928224,41,1,14,Live,NA,768,Prunus emarginata,1,4.1,74.96528245,StateLocal,Recreation/Cemetery,Cemetery/Park/Golf,374.1313933,20,0,0,2
1843,PortlandOR2022Curr,2928224,41,1,1,Live,NA,312,Acer macrophyllum,1,5.4,6.018046286,StateLocal,Recreation/Cemetery,Cemetery/Park/Golf,146.4420507,95,0,0,2
1844,PortlandOR2022Curr,2928583,41,1,1,Live,NA,312,Acer macrophyllum,1,14.6,6.018046286,Private,Residential,Residential,15031.63535,0,1,0,3
1845,PortlandOR2022Curr,2928583,41,1,1,Live,NA,242,Thuja plicata,1,6.6,6.018046286,Private,Residential,Residential,1057.948822,0,1,0,3
1860,PortlandOR2022Curr,2928228,41,1,1,Live,NA,312,Acer macrophyllum,1,8.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1173.402594,5,0,0,2
1876,PortlandOR2022Curr,2928230,41,1,1,Live,NA,936,Sorbus aucuparia,1,7.6,6.018046286,Private,Residential,Residential,2406.500366,0,1,0,3
1877,PortlandOR2022Curr,2928301,41,2,1,Live,NA,241,Thuja occidentalis,1,6.3,6.018046286,Private,Multi-family,Multi-family,932.0714503,0,1,0,1
1878,PortlandOR2022Curr,2969158,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,40.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,33568.30638,5,0,0,2
1879,PortlandOR2022Curr,2969158,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,32.8,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,25938.18832,5,0,0,2
1890,PortlandOR2022Curr,2928095,41,1,1,Live,NA,747,Populus balsamifera ssp. trichocarpa,1,25,6.018046286,Private,Residential,Residential,18365.93807,10,0,0,2
1891,PortlandOR2022Curr,2928575,41,1,1,Dead,Yes,312,Acer macrophyllum,1,6,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,0,NA,0,0,2
1892,PortlandOR2022Curr,2928575,41,1,12,Live,NA,312,Acer macrophyllum,1,4.9,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,1421.443631,0,0,0,2
1895,PortlandOR2022Curr,2928271,41,3,1,Live,NA,96,Picea pungens,1,8.1,6.018046286,Private,Residential,Residential,1530.449004,0,1,0,1
1896,PortlandOR2022Curr,2969148,41,2,1,Live,NA,130,Pinus sylvestris,1,9.3,6.018046286,Private,Multi-family,Multi-family,1587.778241,0,1,0,1
1897,PortlandOR2022Curr,2969146,41,2,1,Live,NA,771,Prunus avium,1,5.6,6.018046286,StateLocal,Rights-of-Way,Residential,947.3971034,0,1,1,1
1911,PortlandOR2022Curr,2969134,41,2,1,Live,NA,312,Acer macrophyllum,1,15.6,6.018046286,StateLocal,Forest land,Unused/Other,5242.000808,0,0,0,2
1912,PortlandOR2022Curr,2969134,41,2,1,Live,NA,312,Acer macrophyllum,1,9.2,6.018046286,StateLocal,Forest land,Unused/Other,1941.748438,0,0,0,2
1914,PortlandOR2022Curr,2928279,41,1,14,Live,NA,7454,Ilex aquifolium,1,1.4,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,102.2698135,0,0,0,2
1923,PortlandOR2022Curr,2928490,41,1,1,Dead,Yes,242,Thuja plicata,1,8.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,0,NA,0,0,2
1924,PortlandOR2022Curr,2928484,41,1,1,Live,NA,351,Alnus rubra,1,15.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,21209.83311,0,0,0,2
1927,PortlandOR2022Curr,2928070,41,1,1,Live,NA,5363,Camellia japonica,1,5.1,6.018046286,Private,Residential,Residential,285.0648833,5,1,0,1
1935,PortlandOR2022Curr,2928484,41,1,1,Live,NA,351,Alnus rubra,1,16.8,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,6344.004169,5,0,0,2
1936,PortlandOR2022Curr,2928484,41,1,1,Live,NA,312,Acer macrophyllum,1,11.7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,12322.27063,0,0,0,2
1937,PortlandOR2022Curr,2928483,41,1,1,Live,NA,312,Acer macrophyllum,1,9.8,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,4035.20183,5,0,0,2
1938,PortlandOR2022Curr,2928483,41,1,1,Live,NA,312,Acer macrophyllum,1,14.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,11361.82582,0,0,0,2
1939,PortlandOR2022Curr,2928488,41,1,11,Live,NA,5146,Acer circinatum,1,1.6,74.96528245,Private,Commercial/Industrial,Institutional/Commercial,142.5734253,0,0,0,3
1940,PortlandOR2022Curr,2928488,41,1,12,Live,NA,8502,Salix discolor,1,3.7,74.96528245,Private,Commercial/Industrial,Institutional/Commercial,426.8853612,0,0,0,3
1952,PortlandOR2022Curr,2928253,41,1,1,Live,NA,312,Acer macrophyllum,1,5.5,6.018046286,Private,Forest land,Unused/Other,4319.739224,0,0,0,2
1953,PortlandOR2022Curr,2928253,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,13.7,6.018046286,Private,Forest land,Unused/Other,4492.654759,0,0,0,2
1954,PortlandOR2022Curr,2928457,41,1,1,Live,NA,312,Acer macrophyllum,1,8.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1776.434248,5,0,0,2
1955,PortlandOR2022Curr,2928252,41,1,1,Live,NA,312,Acer macrophyllum,1,8.3,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,2192.922853,0,0,0,2
1956,PortlandOR2022Curr,2928252,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,11.3,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,6159.534424,0,0,0,2
1957,PortlandOR2022Curr,2969145,41,1,1,Live,NA,312,Acer macrophyllum,1,18.2,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,7428.255983,0,0,0,2
1970,PortlandOR2022Curr,2928485,41,1,1,Live,NA,312,Acer macrophyllum,1,7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1223.737883,0,0,0,2
1971,PortlandOR2022Curr,2928485,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,23.4,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,17173.1339,0,0,0,2
1972,PortlandOR2022Curr,2928485,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,26.3,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,21657.98554,0,0,0,2
1973,PortlandOR2022Curr,2928462,41,1,11,Live,NA,312,Acer macrophyllum,1,3,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,170.1291315,35,0,0,2
1974,PortlandOR2022Curr,2928295,41,1,11,Live,NA,5146,Acer circinatum,1,2.1,74.96528245,Private,Multi-family,Multi-family,126.4995885,0,1,0,1
1975,PortlandOR2022Curr,2928068,41,1,1,Live,NA,312,Acer macrophyllum,1,13,6.018046286,Private,Forest land,Unused/Other,5642.820217,5,0,0,2
1976,PortlandOR2022Curr,2928177,41,1,1,Live,NA,7651,Malus pumila,1,14.2,6.018046286,StateLocal,Rights-of-Way,Cemetery/Park/Golf,3922.021489,5,1,1,1
1986,PortlandOR2022Curr,2928491,41,1,1,Live,NA,312,Acer macrophyllum,2,18.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,9971.81649,0,0,0,2
1987,PortlandOR2022Curr,2928040,41,1,1,Live,NA,41,Chamaecyparis lawsoniana,1,8.1,6.018046286,Private,Residential,Residential,2458.560358,10,0,0,1
1988,PortlandOR2022Curr,2927982,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,30.9,6.018046286,Private,Residential,Residential,25161.57473,0,1,0,3
1989,PortlandOR2022Curr,2927982,41,3,1,Live,NA,202,Pseudotsuga menziesii,1,25.2,6.018046286,StateLocal,Rights-of-Way,Residential,18394.93122,0,0,0,2
1990,PortlandOR2022Curr,2927982,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,15.6,6.018046286,Private,Residential,Residential,6359.833882,0,1,0,3
1991,PortlandOR2022Curr,2928304,41,1,1,Live,NA,542,Fraxinus latifolia,1,15.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,19098.69667,0,0,0,2
1992,PortlandOR2022Curr,2928304,41,1,1,Live,NA,542,Fraxinus latifolia,1,23.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,20123.35892,0,0,0,2
1993,PortlandOR2022Curr,2928304,41,1,1,Live,NA,542,Fraxinus latifolia,1,18.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,14762.52796,10,0,0,2
2006,PortlandOR2022Curr,2928038,41,1,1,Live,NA,8427,Quercus acutissima,1,11.5,6.018046286,Private,Commercial/Industrial,Institutional/Commercial,2580.642526,5,1,0,1
2011,PortlandOR2022Curr,2928465,41,2,1,Removed,NA,202,Pseudotsuga menziesii,1,NA,6.018046286,Private,Residential,Residential,NA,NA,NA,NA,NA
2012,PortlandOR2022Curr,2928090,41,1,1,Dead,No,747,Populus balsamifera ssp. trichocarpa,1,NA,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,NA,NA,NA,NA,NA
2013,PortlandOR2022Curr,2928280,41,1,1,Live,NA,5378,Carpinus betulus,1,8.8,6.018046286,Private,Residential,Residential,2999.407986,0,1,0,1
2014,PortlandOR2022Curr,2928577,41,1,1,Removed,NA,242,Thuja plicata,1,NA,6.018046286,Private,Commercial/Industrial,Institutional/Commercial,NA,NA,NA,NA,NA
2025,PortlandOR2022Curr,2928200,41,2,1,Live,NA,746,Populus tremuloides,1,7,6.018046286,Private,Residential,Residential,353.8683352,5,1,0,1
2027,PortlandOR2022Curr,2928307,41,1,1,Live,NA,8504,Salix lasiolepis,1,7.6,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,3105.286835,5,0,0,2
2038,PortlandOR2022Curr,2928178,41,1,1,Live,NA,8427,Quercus acutissima,1,6.3,6.018046286,StateLocal,Rights-of-Way,Residential,4105.136213,0,1,1,1
2041,PortlandOR2022Curr,2928156,41,1,1,Live,NA,5147,Acer ginnala,2,13.8,6.018046286,StateLocal,Rights-of-Way,Residential,2603.827165,0,1,1,1
2055,PortlandOR2022Curr,2928182,41,1,1,Live,NA,241,Thuja occidentalis,1,6.7,6.018046286,Private,Residential,Residential,462.2090024,0,1,0,1
2056,PortlandOR2022Curr,2928176,41,1,1,Live,NA,68,Juniperus virginiana,1,9.5,6.018046286,Private,Residential,Residential,2614.702805,0,1,0,1
2057,PortlandOR2022Curr,2928176,41,2,1,Live,NA,241,Thuja occidentalis,1,8,6.018046286,Private,Multi-family,Multi-family,317.7635751,0,0,0,1
4746,PortlandOR2022Curr,2928255,41,1,1,Live,NA,312,Acer macrophyllum,1,12.2,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,7077.841476,5,0,0,2
4747,PortlandOR2022Curr,2928255,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,40.8,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,35370.82263,0,0,0,2
4748,PortlandOR2022Curr,2928255,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,25.7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,14642.31582,0,0,0,2
4761,PortlandOR2022Curr,2928275,41,1,1,Live,NA,8502,Salix discolor,1,5.8,6.018046286,Private,Residential,Residential,2351.61311,5,0,0,3
4762,PortlandOR2022Curr,2928275,41,1,1,Live,NA,6696,Prunus laurocerasus,1,5.7,6.018046286,Private,Residential,Residential,398.4025769,0,0,0,1
4775,PortlandOR2022Curr,2928224,41,1,1,Live,NA,771,Prunus avium,1,8,6.018046286,StateLocal,Recreation/Cemetery,Cemetery/Park/Golf,3227.168615,0,0,0,2
4776,PortlandOR2022Curr,2928583,41,1,1,Live,NA,242,Thuja plicata,1,16.8,6.018046286,Private,Residential,Residential,8764.861267,0,1,0,3
4777,PortlandOR2022Curr,2928228,41,1,1,Live,NA,312,Acer macrophyllum,1,5.1,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1240.360124,0,0,0,2
4792,PortlandOR2022Curr,2928249,41,1,1,Live,NA,5150,Acer palmatum,1,5,6.018046286,Private,Residential,Residential,320.7393076,5,1,0,1
4800,PortlandOR2022Curr,2969168,41,1,12,Live,NA,8423,Pyrus communis,1,4.5,74.96528245,StateLocal,Commercial/Industrial,Institutional/Commercial,275.6962051,0,1,0,1
4813,PortlandOR2022Curr,2928095,41,1,1,Dead,Yes,747,Populus balsamifera ssp. trichocarpa,1,21,6.018046286,Private,Residential,Residential,0,NA,0,0,2
4815,PortlandOR2022Curr,2969146,41,1,1,Live,NA,5150,Acer palmatum,1,12.1,6.018046286,Private,Residential,Residential,4442.49391,5,1,0,1
4824,PortlandOR2022Curr,2969134,41,2,1,Live,NA,312,Acer macrophyllum,1,19.9,6.018046286,StateLocal,Forest land,Unused/Other,10550.6266,0,0,0,2
4825,PortlandOR2022Curr,2969134,41,1,13,Live,NA,6696,Prunus laurocerasus,1,1.1,74.96528245,Private,Residential,Residential,72.20392645,0,0,0,2
4829,PortlandOR2022Curr,2928093,41,1,11,Live,NA,241,Thuja occidentalis,1,1.9,74.96528245,StateLocal,Recreation/Cemetery,Cemetery/Park/Golf,58.29421977,0,0,0,1
4830,PortlandOR2022Curr,2928175,41,1,1,Live,NA,5146,Acer circinatum,2,8.6,6.018046286,Private,Residential,Residential,1214.941689,0,1,0,1
4831,PortlandOR2022Curr,2928279,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,31.8,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,25417.89657,0,0,0,2
4843,PortlandOR2022Curr,2928490,41,1,1,Live,NA,242,Thuja plicata,1,22.3,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,15808.01243,0,0,0,2
4844,PortlandOR2022Curr,2928490,41,1,1,Live,NA,242,Thuja plicata,1,19.2,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,14801.27279,0,0,0,2
4845,PortlandOR2022Curr,2928490,41,1,1,Live,NA,263,Tsuga heterophylla,1,16.1,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,7522.334083,5,0,0,2
4846,PortlandOR2022Curr,2928484,41,1,1,Live,NA,263,Tsuga heterophylla,1,9.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1983.795671,0,0,0,2
4860,PortlandOR2022Curr,2928483,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,35.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,22565.37536,0,0,0,2
4861,PortlandOR2022Curr,2928483,41,1,1,Live,NA,312,Acer macrophyllum,1,7.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1859.233823,0,0,0,2
4862,PortlandOR2022Curr,2928488,41,1,12,Dead,Yes,7531,Laburnum anagyroides,1,1.2,74.96528245,Private,Commercial/Industrial,Institutional/Commercial,0,NA,0,0,3
4863,PortlandOR2022Curr,2928488,41,1,12,Live,NA,8502,Salix discolor,1,4.3,74.96528245,Private,Commercial/Industrial,Institutional/Commercial,1110.751184,0,0,0,3
4876,PortlandOR2022Curr,2928253,41,1,1,Dead,Yes,202,Pseudotsuga menziesii,1,9.1,6.018046286,Private,Forest land,Unused/Other,0,NA,0,0,2
4877,PortlandOR2022Curr,2928253,41,1,1,Live,NA,312,Acer macrophyllum,1,8,6.018046286,Private,Forest land,Unused/Other,6939.267499,0,0,0,2
4878,PortlandOR2022Curr,2928253,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,6.4,6.018046286,Private,Forest land,Unused/Other,358.4579192,10,0,0,2
4879,PortlandOR2022Curr,2928253,41,1,1,Live,NA,928,Salix scouleriana,1,10.2,6.018046286,Private,Forest land,Unused/Other,2180.367901,10,0,0,2
4880,PortlandOR2022Curr,2928457,41,1,1,Live,NA,351,Alnus rubra,1,6.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1159.713388,5,0,0,2
4881,PortlandOR2022Curr,2928252,41,1,1,Live,NA,312,Acer macrophyllum,1,9.7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,3242.213835,0,0,0,2
4888,PortlandOR2022Curr,2928457,41,1,1,Live,NA,351,Alnus rubra,1,12.7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1798.516091,70,0,0,2
4889,PortlandOR2022Curr,2928485,41,1,11,Live,NA,312,Acer macrophyllum,1,3.8,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,403.8952279,5,0,0,2
4890,PortlandOR2022Curr,2928485,41,1,1,Live,NA,312,Acer macrophyllum,1,9.6,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,7189.376181,5,0,0,2
4891,PortlandOR2022Curr,2928462,41,1,1,Live,NA,312,Acer macrophyllum,1,29.4,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,35034.7102,5,0,0,2
4892,PortlandOR2022Curr,2928462,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,23.2,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,16398.10881,0,0,0,2
4893,PortlandOR2022Curr,2928491,41,1,1,Dead,Yes,202,Pseudotsuga menziesii,1,8.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,0,NA,0,0,2
4894,PortlandOR2022Curr,2928198,41,1,1,Live,NA,241,Thuja occidentalis,1,5.3,6.018046286,Private,Residential,Residential,352.947891,0,1,0,1
4895,PortlandOR2022Curr,2928068,41,1,1,Live,NA,312,Acer macrophyllum,1,6.9,6.018046286,Private,Forest land,Unused/Other,3901.296807,0,0,0,2
4896,PortlandOR2022Curr,2928068,41,1,1,Live,NA,312,Acer macrophyllum,1,9.2,6.018046286,Private,Forest land,Unused/Other,4226.031286,0,0,0,2
4898,PortlandOR2022Curr,2928095,41,1,1,Dead,Yes,747,Populus balsamifera ssp. trichocarpa,1,13,6.018046286,Private,Residential,Residential,0,NA,0,0,2
4910,PortlandOR2022Curr,2928296,41,1,1,Live,NA,5151,Acer pseudoplatanus,1,23.5,6.018046286,Private,Residential,Residential,6842.809255,0,1,0,1
4911,PortlandOR2022Curr,2927982,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,14.4,6.018046286,Private,Residential,Residential,6203.681873,0,1,0,3
4912,PortlandOR2022Curr,2928036,41,2,1,Live,NA,202,Pseudotsuga menziesii,1,36.2,6.018046286,Private,Residential,Residential,27830.96472,0,1,0,1
4913,PortlandOR2022Curr,2928278,41,1,1,Live,NA,312,Acer macrophyllum,1,20.6,6.018046286,Private,Forest land,Unused/Other,9343.039815,0,0,0,2
4914,PortlandOR2022Curr,2928278,41,1,1,Live,NA,242,Thuja plicata,1,21.2,6.018046286,Private,Forest land,Unused/Other,16271.27127,0,0,0,2
4915,PortlandOR2022Curr,2928278,41,1,1,Live,NA,492,Cornus nuttallii,1,5.1,6.018046286,Private,Forest land,Unused/Other,361.2666791,5,0,0,2
4916,PortlandOR2022Curr,2928574,41,1,1,Live,NA,5150,Acer palmatum,1,6.7,6.018046286,Private,Residential,Residential,628.7937274,0,1,1,1
4928,PortlandOR2022Curr,2927988,41,1,1,Live,NA,5435,Cercidiphyllum japonicum,1,8.8,6.018046286,Private,Commercial/Industrial,Institutional/Commercial,2302.387288,0,1,0,1
4929,PortlandOR2022Curr,2928306,41,1,1,Live,NA,8421,Pyrus calleryana,1,11,6.018046286,Private,Multi-family,Multi-family,4813.268089,5,1,0,1
4935,PortlandOR2022Curr,2928090,41,1,1,Live,NA,747,Populus balsamifera ssp. trichocarpa,1,6.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1510.256175,0,0,0,2
4936,PortlandOR2022Curr,2928280,41,1,1,Removed,NA,5800,Cupressocyparis leylandii,1,NA,6.018046286,Private,Residential,Residential,NA,NA,NA,NA,NA
4937,PortlandOR2022Curr,2928577,41,1,1,Removed,NA,242,Thuja plicata,1,NA,6.018046286,Private,Commercial/Industrial,Institutional/Commercial,NA,NA,NA,NA,NA
4938,PortlandOR2022Curr,2928277,41,1,1,Live,NA,312,Acer macrophyllum,1,15.3,6.018046286,Private,Residential,Residential,14381.26336,5,1,1,2
4954,PortlandOR2022Curr,2928117,41,2,1,Live,NA,8813,Tilia cordata,1,13.6,6.018046286,StateLocal,Rights-of-Way,Residential,6517.531137,0,1,1,1
4955,PortlandOR2022Curr,2928208,41,1,11,Live,NA,241,Thuja occidentalis,1,1.1,74.96528245,StateLocal,Rights-of-Way,Residential,46.42510909,0,0,0,1
4957,PortlandOR2022Curr,2928307,41,1,1,Live,NA,8504,Salix lasiolepis,1,5.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,1300.744836,0,0,0,2
4976,PortlandOR2022Curr,2928100,41,1,1,Dead,Yes,94,Picea glauca,1,9.1,6.018046286,Private,Residential,Residential,0,NA,0,0,1
4987,PortlandOR2022Curr,2928182,41,1,1,Live,NA,241,Thuja occidentalis,1,5.8,6.018046286,Private,Residential,Residential,410.5753633,0,1,0,1
4988,PortlandOR2022Curr,2928176,41,2,1,Live,NA,241,Thuja occidentalis,1,6,6.018046286,Private,Multi-family,Multi-family,483.8573612,0,0,0,1
4989,PortlandOR2022Curr,2928176,41,2,1,Live,NA,241,Thuja occidentalis,1,5,6.018046286,Private,Multi-family,Multi-family,395.6527199,0,0,0,1
7636,PortlandOR2022Curr,2928255,41,1,1,Live,NA,312,Acer macrophyllum,1,26.7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,3142.28854,25,0,0,2
7654,PortlandOR2022Curr,2928270,41,1,13,Live,NA,241,Thuja occidentalis,1,1.9,74.96528245,Private,Residential,Residential,116.6899168,0,1,1,1
7655,PortlandOR2022Curr,2928275,41,1,1,Live,NA,6696,Prunus laurocerasus,1,5.7,6.018046286,Private,Residential,Residential,622.4317314,0,0,0,1
7656,PortlandOR2022Curr,2928275,41,1,1,Live,NA,8502,Salix discolor,1,5.6,6.018046286,Private,Residential,Residential,1767.160979,15,0,0,3
7657,PortlandOR2022Curr,2928275,41,1,1,Live,NA,5423,Cedrus deodara,1,5.9,6.018046286,Private,Residential,Residential,844.5843727,0,1,0,1
7665,PortlandOR2022Curr,2928226,41,1,1,Live,NA,320,Acer platanoides,1,25,6.018046286,StateLocal,Recreation/Cemetery,Cemetery/Park/Golf,14992.90998,5,1,0,1
7666,PortlandOR2022Curr,2928222,41,2,1,Live,NA,771,Prunus avium,1,6.7,6.018046286,Private,Rights-of-Way,Residential,539.8669149,0,1,0,1
7667,PortlandOR2022Curr,2928224,41,1,1,Live,NA,768,Prunus emarginata,1,5,6.018046286,StateLocal,Recreation/Cemetery,Cemetery/Park/Golf,805.6952432,10,0,0,2
7668,PortlandOR2022Curr,2928228,41,1,1,Live,NA,242,Thuja plicata,1,11.4,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,6512.821939,0,0,0,2
7698,PortlandOR2022Curr,2928230,41,1,1,Live,NA,98,Picea sitchensis,1,5.5,6.018046286,Private,Residential,Residential,243.029279,35,1,0,3
7699,PortlandOR2022Curr,2928071,41,1,1,Removed,NA,996,Cotinus obovatus,1,NA,6.018046286,Private,Residential,Residential,NA,NA,NA,NA,NA
7700,PortlandOR2022Curr,2928301,41,2,1,Live,NA,241,Thuja occidentalis,1,9,6.018046286,Private,Multi-family,Multi-family,835.4011594,0,1,0,1
7701,PortlandOR2022Curr,2969168,41,1,1,Live,NA,7651,Malus pumila,1,5.8,6.018046286,StateLocal,Commercial/Industrial,Institutional/Commercial,581.3779292,0,1,0,1
7714,PortlandOR2022Curr,2928095,41,1,1,Live,NA,747,Populus balsamifera ssp. trichocarpa,1,33,6.018046286,Private,Residential,Residential,25993.69325,5,0,0,2
7715,PortlandOR2022Curr,2928433,41,1,1,Live,NA,320,Acer platanoides,1,8.7,6.018046286,StateLocal,Commercial/Industrial,Institutional/Commercial,1830.430911,5,1,0,1
7716,PortlandOR2022Curr,2928575,41,1,1,Live,NA,312,Acer macrophyllum,1,9.6,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,5192.305828,0,0,0,2
7717,PortlandOR2022Curr,2928575,41,1,1,Live,NA,202,Pseudotsuga menziesii,1,43.3,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,39588.42916,0,0,0,2
7718,PortlandOR2022Curr,2928575,41,1,1,Dead,Yes,312,Acer macrophyllum,1,6,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,0,NA,0,0,2
7728,PortlandOR2022Curr,2969134,41,2,1,Live,NA,312,Acer macrophyllum,1,7.1,6.018046286,StateLocal,Forest land,Unused/Other,1397.938027,0,0,0,2
7729,PortlandOR2022Curr,2969134,41,2,1,Live,NA,312,Acer macrophyllum,1,15.4,6.018046286,StateLocal,Forest land,Unused/Other,4290.608094,0,0,0,2
7730,PortlandOR2022Curr,2969134,41,2,1,Live,NA,312,Acer macrophyllum,1,16.6,6.018046286,StateLocal,Forest land,Unused/Other,6304.943548,10,0,0,2
7732,PortlandOR2022Curr,2928175,41,2,1,Live,NA,5279,Betula pendula,1,13.1,6.018046286,StateLocal,Rights-of-Way,Residential,8961.160344,5,1,1,1
7733,PortlandOR2022Curr,2928279,41,1,13,Live,NA,5146,Acer circinatum,1,2,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,314.560437,0,0,0,2
7734,PortlandOR2022Curr,2928279,41,1,14,Live,NA,7454,Ilex aquifolium,1,1.4,74.96528245,StateLocal,Forest land,Cemetery/Park/Golf,93.18684418,0,0,0,2
7735,PortlandOR2022Curr,2928279,41,1,1,Live,NA,17,Abies grandis,1,27.1,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,20274.17657,0,0,0,2
7746,PortlandOR2022Curr,2928070,41,1,14,Live,NA,5363,Camellia japonica,1,1.1,74.96528245,Private,Residential,Residential,38.00351692,5,1,0,1
7757,PortlandOR2022Curr,2928484,41,1,1,Live,NA,312,Acer macrophyllum,1,24.5,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,23422.82039,5,0,0,2
