"","EVALID","PLOTID","STATECD","CONDID","SUBP","STATUSCD","STANDING_DEAD_CD","SPCD","scientific","NBR_STEMS","DIA","TPA_UNADJ","OWNGRPCD","FIA_LANDUSE","ITREE_LANDUSE","LEAF_AREA_ITREE","CROWN_DIEBACK_CD","IS_MAINTAINED_AREA","IS_STREET_TREE","IS_PLANTED","PLT_CN","MTRE_CN","CND_CN"
"68","AustinTX2023Curr",1114794,48,1,1,"Dead","Yes",61,"Juniperus ashei",1,6.8,6.0180462857,"StateLocal","Forest land","Unused/Other",0,NA,0,0,2,365780625489998,1262760266290487,483938182489998
"69","AustinTX2023Curr",1114794,48,1,1,"Dead","Yes",61,"Juniperus ashei",1,5.5,6.0180462857,"StateLocal","Forest land","Unused/Other",0,NA,0,0,2,365780625489998,1262760274290487,483938182489998
"70","AustinTX2023Curr",1114773,48,1,1,"Live",NA,61,"Juniperus ashei",4,13.1,6.0180462857,"Private","Forest land","Unused/Other",935.7069471031,0,0,0,2,439637567489998,1262760940290487,533392184126144
"71","AustinTX2023Curr",1114670,48,1,14,"Dead","No",6748,"Cornus drummondii",1,NA,74.9652824512,"StateLocal","Forest land","Cemetery/Park/Golf",NA,NA,NA,NA,NA,439637581489998,533392563126144,533392515126144
"72","AustinTX2023Curr",1114793,48,1,1,"Live",NA,756,"Prosopis glandulosa",1,6.9,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",163.9743410119,25,0,0,2,439637586489998,1262760812290487,533392750126144
"73","AustinTX2023Curr",1114793,48,1,1,"Live",NA,61,"Juniperus ashei",1,6,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",237.3335145653,0,0,0,2,439637586489998,1262760817290487,533392750126144
"74","AustinTX2023Curr",1114793,48,1,1,"No Status",NA,61,"Juniperus ashei",0,NA,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",NA,NA,NA,NA,NA,439637586489998,1262760819290487,533392750126144
"76","AustinTX2023Curr",1114690,48,1,13,"Live",NA,973,"Ulmus crassifolia",1,1.9,74.9652824512,"StateLocal","Forest land","Unused/Other",50.4418825703,0,0,0,2,439637566489998,533393240126144,533393203126144
"77","AustinTX2023Curr",1114658,48,1,1,"Live",NA,68,"Juniperus virginiana",1,6.3,6.0180462857,"StateLocal","Forest land","Unused/Other",538.6094638991,0,0,0,2,489746526126144,707920668126144,707920629126144
"78","AustinTX2023Curr",1114592,48,1,1,"Dead","Yes",61,"Juniperus ashei",1,8.7,6.0180462857,"Private","Forest land","Unused/Other",0,NA,0,0,2,505183990126144,1262762859290487,809628446290487
"84","AustinTX2023Curr",1114727,48,1,1,"Live",NA,838,"Quercus virginiana",1,6.6,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",478.9111928845,0,0,0,2,505184004126144,931764746290487,931764723290487
"85","AustinTX2023Curr",1114712,48,1,1,"No Status",NA,834,"Quercus shumardii",1,NA,6.0180462857,"StateLocal","Recreation/Cemetery","Cemetery/Park/Golf",NA,NA,NA,NA,NA,505184005126144,809627327290487,809627311290487
"86","AustinTX2023Curr",1114746,48,1,1,"Dead","Yes",8513,"Quercus buckleyi",1,15.9,6.0180462857,"Private","Recreation/Cemetery","Cemetery/Park/Golf",0,NA,0,0,2,489746515126144,707920431126144,707920404126144
"87","AustinTX2023Curr",1114746,48,1,14,"Dead","No",7469,"Ilex vomitoria",1,NA,74.9652824512,"Private","Recreation/Cemetery","Cemetery/Park/Golf",NA,NA,NA,NA,NA,489746515126144,707920459126144,707920404126144
"88","AustinTX2023Curr",1114841,48,1,11,"No Status",NA,7469,"Ilex vomitoria",1,NA,74.9652824512,"StateLocal","Rights-of-Way","Residential",NA,NA,NA,NA,NA,489746523126144,707920582126144,707920553126144
