city,Species.est,chao.est,chao.se,jack1.est,jack1.se,jack2.est,boot.est,boot.se,n
AustinTX,57,78.91716867469879,12.706336002414558,77.87349397590361,4.972288572754761,88.80083972252646,66.39997461003358,2.609764443257522,166
BaltimoreMD,76,109.653125,15.547126169191792,108.63333333333333,6.338915668460328,125.43133583021223,90.53437184627349,3.441920426934404,90
BurlingtonVT,58,75.86391752577319,10.814755452034012,76.80412371134021,4.750687282116179,85.72057560137456,66.54719407740419,2.649988062632713,97
ChicagoIL,47,149.99625468164794,73.05059185739321,71.71910112359551,5.687835332874203,93.25804392236975,56.969943748399345,3.106111433805514,89
ClevelandOH,53,81.41081081081082,15.609524540854109,76.67567567567568,5.410605606714445,90.4305812661977,63.57683578928233,2.9722062886678526,74
DesMoinesIA,55,68.00630063006301,8.257608204253328,71.83168316831683,4.082282797641248,77.82069306930693,63.162655535927186,2.5477277860116754,101
DetroitMI,48,70.3298969072165,13.770674270683848,66.80412371134021,4.537581757848716,77.65893470790378,56.24224183927354,2.5479281151424225,97
FargoND,27,38.88392857142857,9.56478064040047,37.80357142857143,3.546115653005383,43.67694805194805,31.76862528889478,1.8249782737516003,56
HoustonTX,58,118.26008064516128,34.690632416851955,84.78225806451613,6.0403333476797965,105.49154209284028,69.04635178387416,3.121572216125699,124
KansasCityMO,54,74.43847241867044,13.356797339238021,70.83168316831683,4.541522748982065,80.70227722772276,61.35200130466104,2.4464685834556237,101
LincolnNE,52,86.23249299719888,20.364372818012047,73.7843137254902,5.952603390142697,88.55814404969908,61.153728004184856,2.9572520105178492,102
MadisonWI,52,64.36842105263158,8.376159576197304,66.84210526315789,3.8322151004578653,72.80951847704367,59.08906432631556,2.2335071497340637,95
MilwaukeeWI,54,83.81710914454277,19.109272651611533,72.83185840707965,4.757079625439247,85.65439317319849,62.311603522143685,2.568477513650224,113
MinneapolisMN,57,68.95044191919192,7.579881519611123,73.87121212121212,4.5511643430961275,78.88566967383763,65.15077019639007,2.6728877611671544,132
PhiladelphiaPA,67,111.57894736842104,21.23837469197647,99.42105263157895,7.312065188594327,119.890977443609,80.99519424644046,3.7093407946534174,57
PittsburghPA,64,79.97037037037038,8.907699438245636,85.77777777777777,5.051474654401708,92.78633271490415,74.43034442293596,3.0630171428648665,99
PortlandME,49,65.26258116883116,9.797125562111448,67.83035714285714,4.543607796809105,75.78482947232948,57.63796890527298,2.481691268262571,112
PortlandOR,82,148.07142857142856,29.43468932015675,121.64285714285714,7.688324370931098,149.24903474903476,98.97801162096796,3.932768386018307,112
ProvidenceRI,66,100.65231481481482,17.330400714958774,94.67777777777778,7.353247371983364,111.43183520599251,78.73932523431398,3.7328627536226207,90
RochesterNY,80,126.66235207100591,21.517332852907426,114.66346153846155,7.221986021905035,136.3641710231516,95.00838066179817,3.919462607288508,104
SanAntonioTX,38,47.99859943977591,7.9381388929449805,48.90756302521008,3.2887539937977914,53.87352229027204,43.11884328045787,2.0118317126955616,119
SanDiegoCA,76,155.72868217054264,34.45764083157731,119.48837209302326,8.287361930455324,150.88207934336526,94.20397100902468,4.093607556745408,86
SpringfieldMO,49,57.79772727272727,6.1602255290488594,62.825,4.424611564872108,65.88575949367088,55.870012591698924,2.460164983411674,80
StLouisMO,65,145.1098901098901,39.94214887323315,100.6043956043956,7.677851408180907,128.07594627594628,79.58277463791849,3.707641643091568,91
TrentonNJ,84,135.10682110682112,22.64087486567437,121.65765765765767,6.872285601637316,145.35020475020474,100.12242897617497,3.580877580986776,111
WashingtonDC,80,102.8433205057724,11.317410600632412,107.73831775700934,5.950152501181602,118.69008993122907,93.0691109393438,3.353677169446514,107
WichitaKS,48,76.54756097560976,19.577953530079107,64.79268292682927,4.532009887769834,76.56022282445046,55.39764545105601,2.551602771194564,82
