own2,city,richness,Evar,EVALID,plot_count_Curr,city_acres,ForestService,OtherFederal,Private,StateLocal,Agriculture,Commercial/Industrial,Forest land,Multi-family,Nonsampled,OtherNonforest,Rangeland/Chaparral,Recreation/Cemetery,Residential,Rights-of-Way,Water,city.y.y,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,ecoregion1,ecoregion2,ecoregion3,classification_1,classification_2,classification_3
Private,DesMoinesIA,55,0.42257716014315483,DesMoinesIA2022Curr,196,52861.1710995,NA,926.195477143737,32638.323910341,16999.636615599484,6960.842257951186,9200.037029287381,4854.903465275619,1569.9263153573966,NA,634.3854434307693,NA,3219.310739163166,14532.478512147158,9592.272240471546,2297.0150963474903,Des Moines,Des Moines,IA,Iowa,19153,Polk,41.5725,-93.6105,560170,930.5,shape,FALSE,TRUE,America/Chicago,2,50309 50314 50315 50316 50317 50310 50312 50313 50319 50321 50320 50311 50301 50302 50303 50304 50305 50306 50307 50308 50318 50328 50329 50330 50331 50332 50335 50340 50380 50381 50391 50392 50393 50394 50395 50396 50936 50940 50947 50950 50980 50981 50982 50983,1840007069,great plains,temperate prairies,western corn belt plains,not forested,not forested,not forested
Public,DesMoinesIA,23,0.4975433314539073,DesMoinesIA2022Curr,196,52861.1710995,NA,926.195477143737,32638.323910341,16999.636615599484,6960.842257951186,9200.037029287381,4854.903465275619,1569.9263153573966,NA,634.3854434307693,NA,3219.310739163166,14532.478512147158,9592.272240471546,2297.0150963474903,Des Moines,Des Moines,IA,Iowa,19153,Polk,41.5725,-93.6105,560170,930.5,shape,FALSE,TRUE,America/Chicago,2,50309 50314 50315 50316 50317 50310 50312 50313 50319 50321 50320 50311 50301 50302 50303 50304 50305 50306 50307 50308 50318 50328 50329 50330 50331 50332 50335 50340 50380 50381 50391 50392 50393 50394 50395 50396 50936 50940 50947 50950 50980 50981 50982 50983,1840007069,great plains,temperate prairies,western corn belt plains,not forested,not forested,not forested
Private,HoustonTX,49,0.3374627938677448,HoustonTX2022Curr,237,401591.537109,NA,32539.548598643836,247223.56881015218,100316.56524923808,3128.0975709183126,107429.7048029761,58969.39429653231,23405.94440080298,NA,882.3779561072995,1759.1343265120627,23961.83838251702,86830.1953507284,73712.9955709396,21511.854451142775,Houston,Houston,TX,Texas,48201,Harris,29.786,-95.3885,6046392,1386.5,shape,FALSE,TRUE,America/Chicago,1,77069 77068 77061 77060 77063 77062 77065 77064 77067 77066 77346 77571 77036 77037 77034 77035 77032 77033 77030 77031 77038 77449 77489 77044 77043 77042 77204 77598 77018 77019 77015 77016 77017 77010 77011 77012 77013 77094 77093 77092 77345 77547 77025 77024 77027 77026 77021 77020 77023 77022 77029 77028 77096 77090 77091 77098 77099 77078 77079 77072 77073 77070 77071 77076 77077 77074 77075 77407 77047 77046 77045 77041 77040 77048 77336 77339 77338 77003 77002 77007 77006 77005 77004 77009 77008 77450 77082 77084 77089 77088 77083 77081 77080 77087 77086 77085 77053 77054 77055 77056 77057 77058 77059 77396 77051 77506 77504 77001 77052 77201 77202 77203 77205 77206 77207 77208 77210 77212 77213 77215 77216 77217 77218 77219 77220 77221 77222 77223 77225 77226 77227 77228 77229 77230 77231 77233 77234 77235 77236 77237 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77259 77261 77262 77263 77266 77269 77270 77271 77272 77273 77274 77275 77282 77284 77287 77288 77289 77291 77292 77293 77297 77299 77315 77325 77411,1840020925,great plains,texas-louisiana coastal plain,western gulf coastal plain,not forested,not forested,not forested
Public,HoustonTX,35,0.3153043875495579,HoustonTX2022Curr,237,401591.537109,NA,32539.548598643836,247223.56881015218,100316.56524923808,3128.0975709183126,107429.7048029761,58969.39429653231,23405.94440080298,NA,882.3779561072995,1759.1343265120627,23961.83838251702,86830.1953507284,73712.9955709396,21511.854451142775,Houston,Houston,TX,Texas,48201,Harris,29.786,-95.3885,6046392,1386.5,shape,FALSE,TRUE,America/Chicago,1,77069 77068 77061 77060 77063 77062 77065 77064 77067 77066 77346 77571 77036 77037 77034 77035 77032 77033 77030 77031 77038 77449 77489 77044 77043 77042 77204 77598 77018 77019 77015 77016 77017 77010 77011 77012 77013 77094 77093 77092 77345 77547 77025 77024 77027 77026 77021 77020 77023 77022 77029 77028 77096 77090 77091 77098 77099 77078 77079 77072 77073 77070 77071 77076 77077 77074 77075 77407 77047 77046 77045 77041 77040 77048 77336 77339 77338 77003 77002 77007 77006 77005 77004 77009 77008 77450 77082 77084 77089 77088 77083 77081 77080 77087 77086 77085 77053 77054 77055 77056 77057 77058 77059 77396 77051 77506 77504 77001 77052 77201 77202 77203 77205 77206 77207 77208 77210 77212 77213 77215 77216 77217 77218 77219 77220 77221 77222 77223 77225 77226 77227 77228 77229 77230 77231 77233 77234 77235 77236 77237 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77259 77261 77262 77263 77266 77269 77270 77271 77272 77273 77274 77275 77282 77284 77287 77288 77289 77291 77292 77293 77297 77299 77315 77325 77411,1840020925,great plains,texas-louisiana coastal plain,western gulf coastal plain,not forested,not forested,not forested
Private,KansasCityMO,48,0.3350641760432225,KansasCityMO2022Curr,185,204186.617496,NA,2830.6425867154076,127080.0297402734,69705.83980818841,38037.02592821004,27734.94073559924,29642.037205609984,5754.488494683219,NA,1976.4092086934909,2311.698400987647,8321.045928419146,43091.37892652999,42747.48730644445,4570.093427436877,Kansas City,Kansas City,MO,Missouri,29095,Jackson,39.1238,-94.5541,1686807,623.6,shape,FALSE,TRUE,America/Chicago,1,64163 64165 64167 64161 64053 64119 64151 64153 64155 64154 64157 64156 64158 64108 64109 64105 64101 64128 64129 64124 64125 64126 64127 64120 64123 64164 64166 64118 64114 64117 64116 64111 64110 64113 64112 64132 64146 64145 64149 64147 64106 64102 64139 64138 64133 64131 64130 64137 64136 64134 64121 64141 64148 64162 64170 64171 64179 64180 64184 64187 64188 64191 64195 64196 64197 64198 64199 64999,1840008535,great plains,temperate prairies,western corn belt plains,not forested,not forested,not forested
Public,KansasCityMO,39,0.34567135956335204,KansasCityMO2022Curr,185,204186.617496,NA,2830.6425867154076,127080.0297402734,69705.83980818841,38037.02592821004,27734.94073559924,29642.037205609984,5754.488494683219,NA,1976.4092086934909,2311.698400987647,8321.045928419146,43091.37892652999,42747.48730644445,4570.093427436877,Kansas City,Kansas City,MO,Missouri,29095,Jackson,39.1238,-94.5541,1686807,623.6,shape,FALSE,TRUE,America/Chicago,1,64163 64165 64167 64161 64053 64119 64151 64153 64155 64154 64157 64156 64158 64108 64109 64105 64101 64128 64129 64124 64125 64126 64127 64120 64123 64164 64166 64118 64114 64117 64116 64111 64110 64113 64112 64132 64146 64145 64149 64147 64106 64102 64139 64138 64133 64131 64130 64137 64136 64134 64121 64141 64148 64162 64170 64171 64179 64180 64184 64187 64188 64191 64195 64196 64197 64198 64199 64999,1840008535,great plains,temperate prairies,western corn belt plains,not forested,not forested,not forested
Private,MadisonWI,41,0.537342970834084,MadisonWI2022Curr,207,60180.396489,NA,255.32603131593558,23868.887091459324,25212.108765448716,3046.5636057783345,7668.421939579849,3929.658489160628,2551.8347599913877,NA,1478.2198197081868,2051.0489832470175,4214.68162354799,11462.782456680508,12933.110210530074,10858.306909419449,Madison,Madison,WI,Wisconsin,55025,Dane,43.0822,-89.393,460255,1280.5,shape,FALSE,TRUE,America/Chicago,2,53706 53704 53705 53703 53714 53726 53792 53719 53718 53715 53717 53716 53711 53713 53701 53702 53707 53708 53725 53774 53777 53782 53783 53784 53785 53786 53788 53790 53793 53794,1840002915,eastern temperate forests,central usa plains,southeastern wisconsin till plains,forested,woodland,woodland
Public,MadisonWI,37,0.4355253251252216,MadisonWI2022Curr,207,60180.396489,NA,255.32603131593558,23868.887091459324,25212.108765448716,3046.5636057783345,7668.421939579849,3929.658489160628,2551.8347599913877,NA,1478.2198197081868,2051.0489832470175,4214.68162354799,11462.782456680508,12933.110210530074,10858.306909419449,Madison,Madison,WI,Wisconsin,55025,Dane,43.0822,-89.393,460255,1280.5,shape,FALSE,TRUE,America/Chicago,2,53706 53704 53705 53703 53714 53726 53792 53719 53718 53715 53717 53716 53711 53713 53701 53702 53707 53708 53725 53774 53777 53782 53783 53784 53785 53786 53788 53790 53793 53794,1840002915,eastern temperate forests,central usa plains,southeastern wisconsin till plains,forested,woodland,woodland
Private,MilwaukeeWI,40,0.4974581858323023,MilwaukeeWI2022Curr,210,61952.2134705,NA,565.3459387615204,37625.782863992354,23235.09119913912,110.35560264570744,15147.818637201804,3719.2932275008043,7105.074856392143,NA,NA,NA,5236.488759683657,14348.062473732623,15759.126444736256,525.9934688099796,Milwaukee,Milwaukee,WI,Wisconsin,55079,Milwaukee,43.0642,-87.9675,1290221,2287.4,shape,FALSE,TRUE,America/Chicago,1,53203 53202 53207 53206 53205 53204 53209 53208 53233 53211 53218 53219 53214 53215 53216 53210 53212 53213 53295 53225 53224 53221 53220 53223 53222 53228 53201 53237 53259 53263 53274 53278 53288 53290 53293,1840003046,eastern temperate forests,central usa plains,southeastern wisconsin till plains,forested,woodland,woodland
Public,MilwaukeeWI,39,0.43973457617377043,MilwaukeeWI2022Curr,210,61952.2134705,NA,565.3459387615204,37625.782863992354,23235.09119913912,110.35560264570744,15147.818637201804,3719.2932275008043,7105.074856392143,NA,NA,NA,5236.488759683657,14348.062473732623,15759.126444736256,525.9934688099796,Milwaukee,Milwaukee,WI,Wisconsin,55079,Milwaukee,43.0642,-87.9675,1290221,2287.4,shape,FALSE,TRUE,America/Chicago,1,53203 53202 53207 53206 53205 53204 53209 53208 53233 53211 53218 53219 53214 53215 53216 53210 53212 53213 53295 53225 53224 53221 53220 53223 53222 53228 53201 53237 53259 53263 53274 53278 53288 53290 53293,1840003046,eastern temperate forests,central usa plains,southeastern wisconsin till plains,forested,woodland,woodland
