own2,city,richness,Evar,EVALID,plot_count_Curr,city_acres,ForestService,OtherFederal,Private,StateLocal,Agriculture,Commercial/Industrial,Forest land,Multi-family,Nonsampled,OtherNonforest,Rangeland/Chaparral,Recreation/Cemetery,Residential,Rights-of-Way,Water,city.y.y,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,ecoregion1,ecoregion2,ecoregion3,classification_1,classification_2,classification_3
Public,PortlandME,32,0.33073977501722385,PortlandME2023Curr,180,12743.20485,NA,NA,6989.792375069505,4619.425183579342,215.83042904880935,2444.907270641935,2039.7549691756478,912.6434215515034,NA,192.80431246210122,NA,1008.9648633458144,2572.4498377085993,2221.8624547144373,1133.9859300544151,Portland,Portland,ME,Maine,23005,Cumberland,43.6773,-70.2715,213660,1228,shape,FALSE,TRUE,America/New_York,2,04101 04102 04103 04108 04109 04019 04104 04112 04116 04122 04123 04124,1840000327,eastern temperate forests,mixed wood plains,northeastern coastal zone,forested,forested,forested
Private,PortlandOR,66,0.48653293389733443,PortlandOR2023Curr,191,92851.7053005,NA,675.0546291532771,48963.46336054259,34965.43131248899,801.4621045701526,18469.694738713104,11157.743866546673,3649.3116197695263,NA,NA,NA,6548.489568140835,24939.29848696534,19037.94891747923,8247.754618402449,Portland,Portland,OR,Oregon,41051,Multnomah,45.5371,-122.65,2084045,1859,shape,FALSE,TRUE,America/Los_Angeles,1,97227 97221 97220 97229 97203 97202 97201 97206 97205 97204 97209 97208 97258 97266 97219 97213 97236 97232 97233 97230 97239 97218 97214 97215 97216 97217 97210 97211 97212 97207 97228 97238 97240 97242 97250 97251 97252 97253 97254 97256 97280 97282 97283 97286 97290 97291 97292 97293 97294,1840019941,marine west coast forest,marine west coast forest,willamette valley,forested,forested,forested
Public,PortlandOR,38,0.3256101852808163,PortlandOR2023Curr,191,92851.7053005,NA,675.0546291532771,48963.46336054259,34965.43131248899,801.4621045701526,18469.694738713104,11157.743866546673,3649.3116197695263,NA,NA,NA,6548.489568140835,24939.29848696534,19037.94891747923,8247.754618402449,Portland,Portland,OR,Oregon,41051,Multnomah,45.5371,-122.65,2084045,1859,shape,FALSE,TRUE,America/Los_Angeles,1,97227 97221 97220 97229 97203 97202 97201 97206 97205 97204 97209 97208 97258 97266 97219 97213 97236 97232 97233 97230 97239 97218 97214 97215 97216 97217 97210 97211 97212 97207 97228 97238 97240 97242 97250 97251 97252 97253 97254 97256 97280 97282 97283 97286 97290 97291 97292 97293 97294,1840019941,marine west coast forest,marine west coast forest,willamette valley,forested,forested,forested
Private,ProvidenceRI,43,0.49376434564090466,ProvidenceRI2023Curr,198,13164.420033,NA,48.573274571948076,7097.641496414394,4551.166868890437,NA,3629.40326662487,450.19014504656496,1005.7227580854309,NA,NA,NA,617.8437849851138,2692.224280537805,3301.9974045969952,1467.037856165396,Providence,Providence,RI,Rhode Island,44007,Providence,41.823,-71.4187,1270529,3990.1,shape,FALSE,TRUE,America/New_York,1,02903 02906 02907 02908 02904 02905 02909 02912 02918 02901 02902 02940,1840003289,eastern temperate forests,mixed wood plains,northeastern coastal zone,forested,forested,forested
Public,ProvidenceRI,44,0.6049428531872072,ProvidenceRI2023Curr,198,13164.420033,NA,48.573274571948076,7097.641496414394,4551.166868890437,NA,3629.40326662487,450.19014504656496,1005.7227580854309,NA,NA,NA,617.8437849851138,2692.224280537805,3301.9974045969952,1467.037856165396,Providence,Providence,RI,Rhode Island,44007,Providence,41.823,-71.4187,1270529,3990.1,shape,FALSE,TRUE,America/New_York,1,02903 02906 02907 02908 02904 02905 02909 02912 02918 02901 02902 02940,1840003289,eastern temperate forests,mixed wood plains,northeastern coastal zone,forested,forested,forested
Private,RochesterNY,48,0.5002152235608284,RochesterNY2022Curr,189,23779.309518,NA,116.75521561462902,12100.223063268664,10699.44554043233,NA,6023.553053487978,2268.5076530457322,1124.9650347298427,NA,138.5504709433169,NA,2168.8544680171267,5648.504160729011,5543.488978362616,862.8856987175002,Rochester,Rochester,NY,New York,36055,Monroe,43.168,-77.6162,694707,2264.3,shape,FALSE,TRUE,America/New_York,2,14608 14609 14606 14607 14604 14605 14627 14620 14621 14619 14615 14614 14617 14611 14610 14613 14612 14642 14602 14603 14638 14639 14643 14644 14646 14647 14649 14650 14651 14653,1840000373,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands,forested,forested,forested
Public,RochesterNY,63,0.4529244225961305,RochesterNY2022Curr,189,23779.309518,NA,116.75521561462902,12100.223063268664,10699.44554043233,NA,6023.553053487978,2268.5076530457322,1124.9650347298427,NA,138.5504709433169,NA,2168.8544680171267,5648.504160729011,5543.488978362616,862.8856987175002,Rochester,Rochester,NY,New York,36055,Monroe,43.168,-77.6162,694707,2264.3,shape,FALSE,TRUE,America/New_York,2,14608 14609 14606 14607 14604 14605 14627 14620 14621 14619 14615 14614 14617 14611 14610 14613 14612 14642 14602 14603 14638 14639 14643 14644 14646 14647 14649 14650 14651 14653,1840000373,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands,forested,forested,forested
Private,SanAntonioTX,33,0.27519627773972744,SanAntonioTX2023Curr,176,298715.399721,NA,6063.478362888197,200058.52557663695,91956.94636884693,13033.967706142796,69034.0020850171,52994.1547269003,8764.348362497776,NA,NA,1722.849117432483,18992.212325913602,88363.01354394155,45174.40244052648,636.4469253674074,San Antonio,San Antonio,TX,Texas,48029,Bexar,29.4632,-98.5238,2069843,1129,shape,FALSE,TRUE,America/Chicago,1,78112 78239 78259 78258 78252 78251 78250 78257 78256 78255 78254 78208 78201 78202 78203 78204 78205 78207 78245 78242 78248 78231 78230 78233 78232 78235 78234 78237 78238 78209 78109 78266 78264 78260 78219 78218 78217 78216 78215 78214 78213 78212 78211 78210 78244 78247 78240 78249 78073 78023 78222 78223 78220 78221 78226 78227 78224 78225 78228 78229 78206 78241 78246 78265 78268 78269 78270 78278 78279 78280 78283 78284 78285 78288 78289 78291 78292 78293 78294 78295 78296 78297 78298 78299,1840022220,great plains,south central semiarid prairies,texas blackland prairies,not forested,not forested,not forested
Public,SanAntonioTX,18,0.25886418831153835,SanAntonioTX2023Curr,176,298715.399721,NA,6063.478362888197,200058.52557663695,91956.94636884693,13033.967706142796,69034.0020850171,52994.1547269003,8764.348362497776,NA,NA,1722.849117432483,18992.212325913602,88363.01354394155,45174.40244052648,636.4469253674074,San Antonio,San Antonio,TX,Texas,48029,Bexar,29.4632,-98.5238,2069843,1129,shape,FALSE,TRUE,America/Chicago,1,78112 78239 78259 78258 78252 78251 78250 78257 78256 78255 78254 78208 78201 78202 78203 78204 78205 78207 78245 78242 78248 78231 78230 78233 78232 78235 78234 78237 78238 78209 78109 78266 78264 78260 78219 78218 78217 78216 78215 78214 78213 78212 78211 78210 78244 78247 78240 78249 78073 78023 78222 78223 78220 78221 78226 78227 78224 78225 78228 78229 78206 78241 78246 78265 78268 78269 78270 78278 78279 78280 78283 78284 78285 78288 78289 78291 78292 78293 78294 78295 78296 78297 78298 78299,1840022220,great plains,south central semiarid prairies,texas blackland prairies,not forested,not forested,not forested
Private,SanDiegoCA,69,0.5199722022879508,SanDiegoCA2023Curr,194,169853.5769805,NA,6365.138004293027,89527.93823551714,65480.48356234535,1934.5542278214532,33713.259680911535,1432.476361117258,6313.479061699323,NA,333.0031229914456,39076.284517158354,9716.440148974105,39112.621491574995,29741.44118990704,8480.031750312775,San Diego,San Diego,CA,California,06073,San Diego,32.8313,-117.1222,3057778,1640,shape,FALSE,TRUE,America/Los_Angeles,1,92182 92109 92108 92107 92106 92103 92101 92116 92117 92154 92115 92140 92161 92105 92104 92102 92071 92132 92130 92131 92136 92134 92139 92025 92027 92147 92145 92014 92093 92092 92119 92110 92111 92121 92120 92123 92122 92124 92127 92126 92129 92128 92037 92173 92113 92114 92038 92039 92072 92112 92137 92138 92142 92143 92149 92150 92152 92153 92158 92159 92160 92163 92165 92166 92167 92168 92169 92170 92171 92172 92174 92175 92176 92177 92186 92187 92191 92192 92193 92195 92196 92197 92198 92199,1840021990,mediterranean california,mediterranean california,"california coastal sage, chaparral, and oak woodlands",not forested,not forested,not forested
